code,name,specialty,schemes,cap_inr,length_of_stay_days,notes,source
MG0120E,Medical Rehabilitation intellectual dissability,Neurosurgery,PMJAY,7000,3,Medical Rehabilitation intellectual dissability,pmjay_hbp_2022
MG0120F,Medical Rehabilitation special learning disability,Neurosurgery,PMJAY,7000,3,Medical Rehabilitation special learning disability,pmjay_hbp_2022
MG0120G,Medical Rehabilitation multiple disability,Neurosurgery,PMJAY,7000,3,Medical Rehabilitation multiple disability,pmjay_hbp_2022
MG012A,Acute viral hepatitis,Paediatrics,PMJAY,0,3,Acute viral hepatitis,pmjay_hbp_2022
MG013A,Chronic Hepatitis,Paediatrics,PMJAY,0,3,Chronic Hepatitis,pmjay_hbp_2022
MG014A,Liver abscess,Paediatrics,PMJAY,0,3,Liver abscess,pmjay_hbp_2022
MG015A,Visceral leishmaniasis,Paediatrics,PMJAY,0,3,Visceral leishmaniasis,pmjay_hbp_2022
MG016A,Pneumonia,Paediatrics,PMJAY,0,3,Pneumonia,pmjay_hbp_2022
MG017A,Severe pneumonia,Paediatrics,PMJAY,0,3,Severe pneumonia,pmjay_hbp_2022
MG018A,Empyema,Paediatrics,PMJAY,0,3,Empyema,pmjay_hbp_2022
MG019A,Lung abscess,Paediatrics,PMJAY,0,3,Lung abscess,pmjay_hbp_2022
MG020A,Pericardial tuberculosis,Paediatrics,PMJAY,0,3,Pericardial tuberculosis,pmjay_hbp_2022
